Name,Type,Climate,Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,% in Lair,Treasure,Alignment,No. Appearing,AC,Movement,HD,Thac0,No. Attacks,Damage,Special Attack,Special Defence,MR,Size,Morale,Psionic Ability,A/D Modees,Level,XP,Source,Edition
Aasimon - Deva - Astral,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-5,"24, Fl 48 (B)",12,9,2,3-18(x2),Disruption,+2 to hit; Spell immunity; Protection; Never surprised,70%,M (7'),19-20,Nil,Nil,N/A,15000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Deva - Monadic,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-3,"15, Fl 36 (B)",10,11,2,11-20(x2) (1d10+10),Smiting,+1 to hit; Protection; Immunities,60%,M (6'),19-20,Nil,Nil,N/A,52500,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Deva - Monadic,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-3,"15, Fl 36 (B)",10,11,2,3-12/11-20 (3d4/3d4+8),Smiting,+1 to hit; Spell immunity; Protection,60%,M (6'),19-20,Nil,Nil,N/A,13000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Deva - Movanic,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-1,"12, Fl 30 (B)",8,13,2,By weapon,Special,+1 to hit; Parry; Protection; Never surprised; Regeneration,40%,M (6'),19-20,Nil,Nil,N/A,14000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Deva - Movanic,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-1,"12, Fl 30 (B)",8,13,2,By weapon,Special,+1 to hit; Protection; Never surprised; Parry; Regeneration,40%,M (6'),19-20,Nil,Nil,N/A,78500,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Light,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Nil,Very (11-12),N/A,Nil,G,1,-10,Fl 48 (A),10,11,1,1-12,Special,+2 to hit; Never surprised; Spell Immunities,50%,S,19-20,Nil,Nil,N/A,35000,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Light,Outsider,Upper Planes or Prime,Any,Very Rare,Solitary,Any,Nil,Very (11-12),N/A,Nil,G,1,-10,Fl 48 (A),10,11,1,1-12,Special,+2 to hit; Spell immunity,50%,S,19-20,Nil,Nil,N/A,10000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Planetar,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1,-7,"15, Fl 48 (B)",14,7 (+6 strength and weapon bonus),3,11-20 (1d10+10),Vorpal weapon; Special,+3 to hit; Never surprised; Regeneration,75%,L (8'),19-20,Nil,Nil,N/A,20000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Planetar ,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1,-7,"15, Fl 48 (B)",14,7 (+6 strength and weapon bonus),3,11-20 (1d10+10),Vorpal weapon; Special,+3 to hit; Never surprised; Regeneration,75%,L (8'),19-20,Nil,Nil,N/A,143500,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Solar,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Supra-genius (19-20),N/A,Nil,G,1,-10,"18, Fl 48 (B)",22 (177 hp),5 (+5 weapon bonus),4,18-36 (2d20+16),Vorpal weapon; Arrows of slaying,+4 to hit; Never surprised; Spell immunities; Protection,85%,L (9'),19-20,Nil,Nil,N/A,225000,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Solar,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Supra-genius (19-20),N/A,Nil,G,1,-10,"18, Fl 48 (B)",22 (177 hp),5 (+5 weapon bonus),4,18-36 (2d20+16),Vorpal weapon; Arrows of slaying,+4 to hit; Never surprised; Spell immunities; Protection,85%,L (9'),19-20,Nil,Nil,N/A,32000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aballin,Monster,Temperate to Tropical,Subterranean and Wilderness,Uncommon,Solitary,Any,Omnivore,Average (8-10),N/A,I,N,1-4,4,"6, Sw 15",3,17,1,Special,Drowning,"+1 to hit, Immune to edged weapons; Spell Immunites",Nil,L (10'),14,Nil,Nil,N/A,270,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Aballin,Monster,Temperate to Tropical,Subterranean and Wilderness,Uncommon,Solitary,Any,Omnivore,Average (8-10),N/A,I,N,1-4,4,"6, Sw 15",3,17,1,Special,Drowning,Special,Nil,L (10'),13-14,Nil,Nil,N/A,270,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Abhir,Outsider,Any,Land,Rare,Solitary or Small Groups,Any,Carnivore,High (13-14),N/A,G,CE,1-3 (1-6),-7/-5,12,7+7,13,7,2-8/by weapon(x6),Special,+1 to hit,80%,L (7'),15,Nil,Nil,N/A,10000,Dungeon023,2e
Aboleth,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,High (13-14),20%,F,LE,1-4,4,"3, Sw 18",8,N/A,4,1-6(x4),Special,Slime,Standard,L,N/A,250,CDE/GIJ,VII,1275+10,TSR 2016 - Monster Manual II (First Edition),1e
Aboleth,Monster,Temperate to Tropical,Subterranean,Very Rare,Brood,Night,Omnivore,High (13-14),N/A,F,LE,1-4,4,"3, Sw 18",8,13,4,1-6 (x4),Special,Slime,Nil,H (20' Long),13,250,"EW,Il,PsC,+1/TS,IF,TW",N/A,5000,TSR 2140 - Monstrous Manual (Second Edition),2e
Aboleth - Grand,Monster,N/A,N/A,Unique,N/A,N/A,N/A,Godlike (21+),100%,"Hx2,R,S,Tx2,V",LE,1,0,"3, Sw 24",40 (182 hp),N/A,4,5-30(x4),Enslavement; Slime; Psionics; Telepathic contact to all aboleths,Illusions; Psionics,Standard,L,N/A,370,All/All,X,32000,Dragon131,1e
Aboleth - Greater,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,Exceptional (15-16),90%,"Ax2 (R,S,T,U)",LE,1-3 (7-12 in city),3,"3, Sw 21",12 to 14,N/A,4,4-10(x4),Enslavement; Slime; Psionics,Illusions; Psionics,Standard,L,N/A,280,BCDE/FGIJ,VIII to IX,4400+16 to 6100+18,Dragon131,1e
Aboleth - Noble,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),95%,"E,F,X (R,S,T,V)",LE,1-2 (3-8 in city),3,"3, Sw 15",16 to 18,N/A,4,2-16(x2)/2-5(x2),Enslavement; Slime; Psionics,Illusions; Psionics,Standard,L,N/A,310,All/All,IX to X,8100+20 to 10100+25,Dragon131,1e
Aboleth - Ruler,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,Supra-genius (19-20),100%,"H,R,S,T,V",LE,1,1,"3, Sw 21",20 to 22,N/A,4,5-20(x4),Enslavement; Slime; Psionics; Fear,Illusions; Psionics,Standard,L,N/A,340,All/All,X,15700+30 to 19200+35,Dragon131,1e
Aboleth - Salt Water,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,Exceptional to Genius (15-18),35%,H,LE,1-3,2,"3, Sw 21",10,N/A,4,1-8(x4),Slime; Illusions; Enslave; Psionics,Slaves; Illusions; Detections magic,Standard,L (25'),N/A,200,CDE/GIH,VIII,2700+14,Dungeon012,1e
Aboleth - Savant,Monster,Any,Subterranean,Very Rare,Brood or Community,Any (Night),Omnivore,Exceptional to Supra-genius (15-20),N/A,"(F,U)",LE,1,2,"3, Sw 18",12+12,7,4,1-6 + special(x4),Spells; Aboleth glyphs; Frenzy; Domination; Tentacle toxin,Spells; Aboleth glyphs; Slime; Mucus cloud; Detect invisible (75% chance within 60'),Nil,H (20'),16,Nil,Nil,N/A,13000 to 15000,"TSR 2158 - Monstrous Compendium Annual, Volume Two",2e
Abrian,Outsider,Outlands; Lower Planes,Any,Common,Flock,Day,Carnivore,Low (5-7),N/A,"J,K,M (B)",CE,4-40,6,18,2+3,17,2,1-3/1-8,Shriek,Nil,Nil,M (7'),5-7,Nil,Nil,N/A,175,TSR 2613 - Monstrous Compendium - Planescape Appendix II,2e
Absalom,Monstrous Humanoid,New Giusetenal (Athas),Any,Unique,Solitary,Any,Nil,Exceptional (16),N/A,"V,Y",LE,1,4,9,17 (97 hp),10,1,3-18 or 6-13,Special,Special,Nil,M (7'),18,150,-/All,N/A,10000,TSR 2432 - City by the Silt Sea,2e
Achaierai,Monster,Any,Subterranean,Very Rare,Flock,Any,Carnivore,Average (8-10),N/A,F,CE,1-8,8 (legs: -1),18,"9 (40 hp, legs 15 hp)","17 (claws), 11 (beaks)",3,1-8(x2)/1-10,Nil,Toxic Smoke,35%,H (15'),Special,Nil,Nil,N/A,2000,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Achaierai,Outsider,N/A,Any,Very Rare,Flock,Any,Carnivore,High (13-14),N/A,Nil,LE,1-8,"-1 (legs), 8 (body)",18,6+6,13,3,2-16(x2)/3-36,Command rust dragons,2-16(x2)/3-36,35%,L (15'),14,Nil,Nil,N/A,5000,TSR 2607 - Planes of Law,2e
Achaierai,Monster,Acheron,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),5%,F,CE,1-8,8 (legs: -1),18,40 hp (legs 15 hp each),N/A,3,1-8(x2)/1-10,Nil,Toxic Smoke,35%,L (15'),N/A,Nil,Nil,VII,1300+14,TSR 2012 - Fiend Folio (First Edition),1e
Actaeon,Fey,Temperate,Forests,Rare,Solitary,Day,Herbivore,Very (11-12),N/A,P (B),N,1,3,15,11,9,3,7-12(x2)/2-16,Polymorph breath; Summoning,Camouflage,Nil,L (9'),15,Nil,Nil,N/A,4000,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Addazahr,Vermin,Temperate to Tropical,"Deserts, Hills, and Plains",Uncommon,Swarm,Day,Omnivore,Animal (1),N/A,Nil,N,6-60,4,"6, Fl 18 (B)",1/8,20,1,1 + disease,Disease,Nil,Nil,"T (2"")",6,Nil,Nil,N/A,15,"TSR 2158 - Monstrous Compendium Annual, Volume Two",2e
Adherer,Monstrous Humanoid,Temperate,Forests,Rare,Pack,Any,Carnivore,Semi (2-4),N/A,Nil,LE,1-4,3,9,4,17,1,1-3,Adhesions,Adhesion,Special,M (5-6'),12,Nil,Nil,N/A,650,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Adherer,Monstrous Humanoid,N/A,N/A,Rare,N/A,N/A,N/A,Semi (2-4),20%,Nil,LE,1-4,3,9,4,N/A,1,1-3,Ahdesion,Special,Special,M ,N/A,Nil,Nil,III,150+4,TSR 2012 - Fiend Folio (First Edition),1e
Aerial Servant,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Semi (2-4),0%,Nil,N,1,3,24,16,N/A,1,8-32,Surprise on 1-4,+1 to hit,Standard,8' tall,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Aesepent,Outsider,Beastlands,Any,Very Rare,Solitary,Night,Carnivore,Low (5-7),N/A,Nil,N,1 or 2,3 (-1 in darkness),18,7,13,1,3-9,Venom; Swallow whole,Invisible in darkness,Nil,L (20'),11-12,Nil,Nil,N/A,2000,TSR 2615 - Planes of Conflict,2e
Afanc,Magical Beast,N/A,Oceans,Very Rare,Solitary,Any,Carnivore,Low (5-7),N/A,Special,N,1,6,Sw 15,15,5,1 or 2,5-20 or 3-12(x2),Whirlpool; Swallow whole,Nil,Nil,G (50'),13-14,Nil,Nil,N/A,11000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Afanc,Animal,Warm,N/A,Very Rare,N/A,N/A,N/A,Low (5-7),0%,Nil,N(E),1,6,Sw 15,15,N/A,1 or 2,5-20 or 3-12(x2),Whirlpool,Nil,Standard,L (50'),N/A,Nil,Nil,VIII,4000+20,TSR 2016 - Monster Manual II (First Edition),1e
Afanc (Gawwar Samakat),Magical Beast,Any,Oceans,Very Rare,Solitary,Any,Carnivore,Low (5-7),N/A,Special,N(E),1,6,Sw 15,15,5,1 or 2,5-20 or 3-12(x2),Whirlpool; Swallow whole,Nil,Nil,G (50'),13,Nil,Nil,N/A,11000,TSR 1091 - City of Delights,2e
Agarat,Undead,Any,Land,Very Rare,Pack,Night,Scavenger,Low (5-7),N/A,"R (B,T)",CE,1-8,4,9,4+3,15,3,1-3(x3),Scream,Special,Nil,M (5-7'),20,Nil,Nil,N/A,975,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Agrutha,Monstrous Humanoid,Temperate,Swamps,Very Rare,Tribe,Any,Carnivore,Low (5-7),N/A,D,N,1-8,5,"6, Sw 12",4+3,17,3 or 1,1-4(x2)/1-6 or 1-10,Nil,Nil,Nil,M (7-8'),15-16,Nil,Nil,N/A,120 to 175,Dragon268,2e
Ahmoras - Mechanical Form,Construct,Any,Any,Unique,Solitary,Any,Nil,Exceptional (16),N/A,Special,CE,1,-2,24,20 (120 hp),5,3,7-12(x2)/5-30,Spells; Charge; Breath weapon,"Immune to electricity, poison, rust, and normal missiles",Special,G (68'),19,Nil,Nil,N/A,23000,Dungeon022,2e
Ahmoras - Original Form,Dragon,Any,Any,Unique,Solitary,Any,Carnivore,Exceptional (16),N/A,Special,CE,1,-3,"12, Fl 30 (C), Sw 12",16 (96 hp),5,3,8-14(x2)/11-26,As black dragon,As black dragon,60%,G (68'),16,Nil,Nil,N/A,21000,Dungeon022,2e
Ahuizotl,Monster,Subtropical and Tropical,Water,Very Rare,Solitary,Any,Carnivore,Average (8-10),N/A,"I,Ux10",CN,1 (2-5),2,"9, Sw 12",10 to 12,11 to 9,4,1-6(x2)/3-18/2-20,Breath weapon; Rear claws for 2-5(x2),Nil,Nil,H (18'),12,Nil,Nil,N/A,9000 to 11000,TSR 9333 - FMA1 - Fires of Zatal,2e
Air Sentinel,Outsider,Twin Paradises (Shurrock),Any,Uncommon,Family,Any,Nil,High (13-14),N/A,Z,CG,2-8,6,Fl 36 (A),5+1,15,2,1-6(x2),Shocking hug,Missile deflection,Nil,M (6'),11-12,Nil,Nil,N/A,975,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Akikage,Undead,Ravenloft,Rokushima,Very Rare,Solitary,Night,Nil,High (13-14),N/A,Nil,LE,1,1,12,6+3,13,4,1-6(x4),Death Blow,+2 to hit; Spell immunity,Nil,M (6'),17-18,Nil,Nil,N/A,3000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Alaghi,Monstrous Humanoid,Temperate,Mountain forests,Very Rare,Family,Any,Omnivore,Low (5-7),N/A,"I,Q",N,2-5,4,12,9,11,2,2-12(x2) or by weapon +5 (strength),Missile weapons,Stealth,Nil,L (6'),11-12,Nil,Nil,N/A,2000 to 6000,"TSR 2125 - Monstrous Compendium, Forgotten Realms Appendix II",2e
Alaghi,Monstrous Humanoid,Temperate,Mountain forests,Very Rare,Family,Any,Omnivore,Low (5-7),N/A,"I(no coins),Q",N,2-5,4,12,9,11,2,2-12(x2) or by weapon +5,Missile weapons,Stealth,Nil,L (6'),11-12,Nil,Nil,N/A,2000 to 6000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Alan,Monstrous Humanoid,N/A,N/A,Rare,Flock,N/A,N/A,High (13-14),70%,C,CN,1-20,6,"9, Fl 18 (C)",4,N/A,2,1-4(x2) or by weapon,Charge,Nil,Standard,S,N/A,Nil,Nil,III,60+4,TSR 1032 - Kara-Tur - The Eastern Realms Boxed Set,1e
Albari,Magical Beast,Any,Any,Very Rare,Solitary,Any,Omnivore,Exceptional (15-16),N/A,Any or Nil,CN,1,8,"1, Fl 33 (B)",6,15,2,1-3(x2) or 1-2/1-3,Special,Special,75%,S (3-4'),11-12,Nil,Nil,N/A,4000,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Alchemy Plant,Plant,Any,Any,Very Rare,Solitary,Any,Any,Animal (1),N/A,Nil,N,1,Special,Nil,1,Nil,Nil,Nil,Nil,Special,Nil,S (1-3'),Nil,Nil,Nil,N/A,25,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Alcor,Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Animal to Low (1-7),10%,"K,M",N,2-8,5,"9, Skiing: 24",3,N/A,1 or 3,3-12 or 1-3(x2)/1-4,Tail strike; Possible missile fire,Nil,Standard,M,N/A,Nil,Nil,II,65+3,Dragon101,1e
Aleax,Outsider,Outer Planes,Any,Very Rare,Solitary,Any,Nil,Genius (17-18),N/A,Nil,Any,1,Special,"12, Fl 12 (A)",Special,Special,Special,Special,Special,Regeneration,Special,M,20,Nil,Nil,N/A,Varies,TSR 2600 - Planescape Campaign Setting,2e
Aleax,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),0%,Nil,Special,1,Special,12,Special,N/A,Special,Special,Nil,Regeneration,100%,M ,N/A,Nil,Nil,Special,Special,TSR 2012 - Fiend Folio (First Edition),1e
Algoid,Monstrous Humanoid,Temperate,Swamps,Very Rare,Pack,Any,Omnivore,Semi (2-4),N/A,Dx1/2,CN,1-6,5,6,5,15,2,1-10(x2),Stun,Immune to edged weapons of less than +2,Special,M (5-7'),11,Nil,Nil,N/A,420,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Algoid,Plant,N/A,N/A,Very Rare,N/A,N/A,N/A,Semi (2-4),20%,Dx1/2,CN,1-6,5,6,5,N/A,2,1-10(x2),Nil,Immune to edged weapons of less than +2,Immune to fireballs and lightning,M ,N/A,101-120,A,VII,280+5,TSR 2012 - Fiend Folio (First Edition),1e
Alguduir - Adult,Magical Beast,Any,Marshes,Rare,Solitary,Day,Carnivore,Low to Average (5-10),N/A,Nil,N,1-2,6,"6, Fl 21 (B), Sw 14",4+4,17,5,1-6/2-5(x2)/2-4(x2),Nil,Spell reflection,40%,M (7'),13-14,Nil,Nil,N/A,975,"TSR 2125 - Monstrous Compendium, Forgotten Realms Appendix II",2e
Alguduir - Young,Magical Beast,Any,Marshes,Rare,Family,Day,Carnivore,Low (5-7),N/A,Nil,N,1-2,8,"4, Fl 16 (B), Sw 12",1+1,20,3,1-4/1-2(x2),Nil,Spell reflection,40%,S (1-4'),2-4,Nil,Nil,N/A,420,"TSR 2125 - Monstrous Compendium, Forgotten Realms Appendix II",2e
Al-Jahar,Humanoid,Any,Urban,Very Rare,Solitary,Any,Special,Very (11-12),N/A,"O,Q",NE,1,8,"12, Fl 12",5,15,2,1-6(x2),Spell use,Disguise,20%,M (5-7'),5-7,Nil,Nil,N/A,3000,TSR 1091 - City of Delights,2e
Al-Jahar (Dazzle),Humanoid,Warm,Urban,Very Rare,Solitary,Any,Special,Very (11-12),N/A,"O,Q",NE,1,8,"12, Fl 12 (B)",5,15,2,1-6(x2),Spells,Disguise,20%,M (5-7'),5-7,Nil,Nil,N/A,3000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Allura,Monster,Any,Any,Very Rare,Group,Any,Omnivore,High (13-14),N/A,W,CN,1-6,6,9,6+1,15,1,1-8 (by weapon),Spells,Spells,20%,M (5'),14,Nil,Nil,N/A,975,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Al-Mi'raj,Magical Beast,Temperate,"Forests, Grasslands, and Hills",Very Rare,Herd,Day,Herbivore,Animal (1),N/A,Nil,CN,2-20,6,18,1,19,1,1-4,Nil,Teleportation; Immune to poison,25%,S (3'),17-18,250,Mt/M-,N/A,65 (Psionic: 420),"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Al-Mi'raj,Magical Beast,N/A,N/A,Very Rare,N/A,N/A,N/A,Animal (1),5%,Nil,N,2-20,6,18,1,N/A,1,1-4,Nil,Nil,Special,S (3'),N/A,Nil,Nil,I,10+1,TSR 2012 - Fiend Folio (First Edition),1e
Ambuchar Devayam (Tan Chin),Undead,Any,Any,Unique,Solitary or City,Any,Omnivore,Supra-genius (19),N/A,G,LE,1,0,12,12 (75 hp),9,2,1-10 + gaze,Special,Special,40%,M (6'),20,Nil,Nil,N/A,20000,TSR 9304 - FRA3 - Blood Charge,2e
Amiq Rasol,Undead,Any,Ocean Coasts,Very Rare,Solitary,Any,Special,High (13-14),N/A,(C),NE or N,1-10,4,"18, Sw 9",9,11,3,1-4(x2)/1-6,Energy drain; Charm,+2 to hit; Spell immunities,Nil,M (5-6'),14,Nil,Nil,N/A,7000,"TSR 2158 - Monstrous Compendium Annual, Volume Two",2e
Ammonite - Giant Sea,Animal,Tropical,Ocean Depths and Coasts,Rare,Solitary,Any,Carnivore,Non (0),N/A,Nil,N,1,6 or 8,Sw 1,7,13,1-3 per creature,1-3,"Paralysis, Swallow whole",Nil,Nil,L (8'),19-20,Nil,Nil,N/A,1000,"TSR 2173 - Monstrous Compendium Annual, Volume Four",2e
Ammonite - Golden,Animal,Any,Ocean Depths,Very Rare,Solitary,Any,Scavenger,Semi (2-4),N/A,Special,N,1-3,2 or 8,Sw 1,8+3,11,10,1-4(x10),"Blinding, Constriction",Immune to psionics,90%,L (6-8'),15-16,Nil,Nil,N/A,6000,"TSR 2173 - Monstrous Compendium Annual, Volume Four",2e
Ammonite - Golden,Magical Beast,Any,Ocean Depths,Very Rare,Solitary,Any,Scavenger,Semi (2-4),N/A,Special,N,1-3,6 or 8,Sw 1,8+3,11,10,1-4(x10),Blinding; Draining,Immune to psionics and mind affecting spells; Half damage from blunt and cold; Regeneration; Cannot be Surprised,90%,L (6-8'),10,Nil,Nil,N/A,8000,"TSR 2125 - Monstrous Compendium, Forgotten Realms Appendix II",2e
Ammonite - Golden,Magical Beast,N/A,N/A,Very Rare,N/A,N/A,N/A,Semi (2-4),0%,Special,N,1-3,2 (8),1,8+3,N/A,10,1-4(x10),Blinding,Immune to psionic attack,90%,L (6-8'),N/A,Nil,Nil,???,2700+12,Dragon048,1e
Ammut,Magical Beast,Any,Underground,Very Rare,Clan,Night,Carnivore,Average (8-10),N/A,A,NE,1-12,3,"9, Sw 12, Br 3",6,15,1 or 2,2-16 or 1-8(x2),Swallow whole; Roar,Nil,Nil,L (12'),14,Nil,Nil,N/A,650,"TSR 2129 - Monstrous Compendium, Al-Qadim Appendix",2e
Amphibian - Poisonous - Frog,Animal,Tropical,Forests,Uncommon,Solitary,Any,Carnivore,Animal (1),N/A,Nil,N,1,8,"3, Jp 3",1/4,20,Nil,Nil,Poison,Nil,Nil,"T (1-2"")",10,Nil,Nil,N/A,65,Dragon237,2e
Amphibian - Poisonous - Neotropical Toad,Animal,Temperate to Tropical,Forests,Common,Solitary,Any,Omnivore,Animal (1),N/A,Nil,N,1-2,8,"3, Jp 3",1,20,1,Nil,Poison,Nil,Nil,"T-S (3-9"")",8,Nil,Nil,N/A,120,Dragon237,2e
