Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
"Abomination, Anaxim",Medium,Construct,"Extraplanar, Lawful",38,420,60,f200 (prf),37,17,30,40,Spinning blade +43 (2d6+12/19-20 [+1d6 on critical hit]) or slam +35 (2d6+6) or shocking touch +35 (2d6+6 electricity) or electricity ray +35 (10d6 electricity) or spike +30 (2d6+12),2 spinning blades or 2 slams or shocking touch or electricity ray or 6 spikes,"Rend 4d6+18, sonic blast, SLAs, summon iron golem","CL22, at will - greater dispel magic, displacement, ethereal jaunt, greater invisibility, true seeing","Abomination immunities, blindsight 500ft, DR 10/adamantine and chaotic and epic, FH15,  immunity to magic, nondetection, SR 34, telepathy 1000ft",12,19,17,35,25,-,10,20,20,Any,always,LN,22,ELH,,BoVD,Book of Vile Darkness,FC2,Fiendish Codex 2,ToB,Tome of Battle,FN,Five Nations,Serp,Serpent Kingdoms,Forge,The Forge of Fury,FoN,Force of Nature,
"Abomination, Atropal",Large,Undead,"Evil, Extraplanar, Lawful",66,792,5,f240 (prf),51,11,49,53,Touch +49 (2d6 Con drain/19-20),2 touches,"Constitution drain, energy drain, rebuke undead (+4 bonus), SLAs, summon nightcrawler","CL30, at will - animate dead, blasphemy, create greater undead, create undead, cone of cold, desecrate, greater dispel magic, finger of death, greater invisibility, plane shift, slay living, speak with dead, spectral hand, greater teleport, true seeing, unholy aura; 5/day - haste, project image, weird","Abomination immunities, blindsight 500ft, DR 15/epic and good and silver, negative energy aura, nondetection, regeneration 20, resistance to cold 20 and fire 20, SR 42, telepathy 1000ft",22,26,43,43,15,-,28,22,42,Any,always,LE,30,ELH,,City,Cityscape,Frost,Frostburn,ToM,Tome of Magic,MoE,Magic of Eberron,ShSo,Shining South,WndW,The Secret of the Windswept Wall,GW,Ghostwalk,
"Abomination, Chichimec",Medium,Outsider,"Air, Evil, Extraplanar",27,425,5,f200 (prf),39,17,32,39,Wing buffet +39 (2d6+12),2 primary wing buffets +39 (2d6+12) and 6 secondary wing buffets +37 (1d6+6) and tail slam +37 (1d6+6 plus Cha drain),"Charisma drain, SLAs, summon air elemental","CL20, at will - darkness, telekinesis, true seeing; 1/day - call lightning, chain lightning, control weather, greater invisibility, lightning bolt","Abomination immunities, blindsight 500ft, DR 10/epic and good, FH10, immunity to electricity, nondetection, resistance to cold 20 and fire 20, SR 33, telepathy 1000ft",22,22,17,34,25,24,12,14,30,Any,always,NE,21,ELH,,C.Ar,Complete Arcane,HoB,Heroes of Battle,DCS,Dragonlance Campaign Setting,Sharn,Sharn - City of Towers,UE,Unapproachable East,RTEE,Return to the Temple of Elemental Evil,OA,Oriental Adventures,
"Abomination, Dream Larva",Large,Outsider,"Chaotic, Evil, Extraplanar",40,700,80,f240 (prf),52,12,49,60,Bite +56 (4d8+16),Bite and gore +51 (4d6+8) and 4 pincers +53 (4d6+8) and 4 claws +53 (4d6+8),"Improved grab, sending, SLAs, summon nightwalker, worst nightmare","CL31, at will - fly, haste, nightmare, prismatic spray, true seeing; 2/day - dreamscape","Abomination immunities, blindsight 500ft, DR 15/epic and good or epic and lawful, FH15, immunity to sonic, nondetection, regeneration 15, resistance to cold 20 and fire 20, SR 44, telepathy 1000ft",31,25,29,42,17,29,16,24,36,Any,always,CE,31,ELH,,C.Psi,Complete Psionic,HoH,Heroes of Horror,AoM,Age of Mortals,CoR,Champions of Ruin,Under,Underdark,TVoS,The Vessel of Stars,###,Dragon Magazine,
"Abomination, Hecatoncheires",Huge,Outsider,"Chaotic, Evil, Extraplanar",52,1028,100,,70,28,70,80,100 greatswords +73 (2d6+20/17-20) or 100 boulders +55 (2d8+20/19-20),Same as Attack,"Superior multiweapon fighting, SLAs, summon hecatoncheires","CL50, at will - greater magic weapon, fly, shield, true seeing","Abomination immunities, blindsight 500ft, DR 20/cold iron and epic and good, FH50, immunity to electricity, nondetection, regeneration 40, resistance to cold 20 and fire 20, SR 70, telepathy 1000ft",39,30,27,50,15,32,10,8,24,Any,always,CE,57,ELH,,C.War,Complete Warrior,LM,Libris Mortis,KoD,Key of Destiny,F&P,Faiths and Pantheons,DDen,Dangerous Denizens - The Monsters of Tellene,SlvSk,The Silver Skeleton,A##,Dragon Magazine Annual 00/01,
"Abomination, Infernal",Large,Outsider,"Chaotic or Lawful, Evil, Extraplanar",40,700,80,f240 (prf),50,16,43,60,Claw +58 (4d6+16),2 claws and bite +52 (4d8+8 plus spell suck) and 2 wings +50 (2d6+8) and tail slam +50 (4d8+8),"Improved grab, learned spell immunity, SLAs, spell suck, summon fiend","CL26, at will - animate dead, blasphemy, blur, charm person, create undead, darkness, deeper darkness, desecrate, detect chaos, detect good, detect law, detect magic, greater dispel magic, fear, fireball, hold person, greater invisibility, magic circle against good, major image, produce flame, pyrotechnics, read magic, scrying, suggestion, symbol, telekinesis, greater teleport (self +1000lbs only), true seeing, unhallow, unholy aura, unholy blight, wall of fire; 1/day - fire storm, hellball, implosion, meteor swarm","Abomination immunities, blindsight 500ft, DR 15/epic and good, FH15, nondetection, regeneration 15, resistance to cold 20 and fire 20, SR 38, telepathy 1000ft",31,29,30,43,25,28,22,26,29,Any,always,CE or LE,26,ELH,,Deities,Deities and Demigods,LoM,Lords of Madness,BoKR,Bestiary of Krynn Revised,FRCS,Forgotten Realms Campaign Setting,BaS,Blood and Shadows - The Dark Elves of Tellene,LDR,Lest Darkness Rise,Web,Web content,
"Abomination, Phaethon",Garg.,Outsider,"Evil, Extraplanar, Fire",62,1362,120,b120,47,13,40,98,Slam +85 (4d8+24 plus 2d6 fire damage),8 slams,"Fiery touch, fiery overrun, improved grab, SLAs, summon elder fire elemental, swallow whole","CL34, at will - delayed blast fireball, fireball, fire storm, flame strike, true seeing, wall of fire; 1/day - scrying","Abomination immunities, blindsight 500ft, DR 15/epic and lawful, FH25, immunity to fire, nondetection, oozelike immunities, regeneration 25, resistance to cold 20, SR 46, telepathy 1000ft",48,42,39,58,25,36,8,18,39,Any,always,CE,34,ELH,,Draco,Draconomicon,MH,Miniatures Handbook,BoKR,Bestiary of Krynn,MgoF,Magic of Faerûn,GotP,Garden of the Plantmaster,StSt,The Standing Stone,,,
"Abomination, Phane",Large,Outsider,"Chaotic, Evil, Extraplanar, Incorporeal",36,652,80,f120 (prf),50,50,47,-,Incorporeal touch +43 (1d6 plus stasis touch),Same as Attack,"Chronal blast, SLAs, stasis touch, summon past time duplicate, time leach","CL21, at will - detect good, detect magic, greater invisibility (self only), true seeing; 5/day - haste, mass haste, slow, greater teleport, tongues, trap the soul, true strike, unholy aura; 2/day - safe time, time duplicate; 1/day - time stop","Abomination immunities, blindsight 500ft, DR 15/epic, FH15, immunity to sonic, nondetection, null time field, regeneration 15, resistance to cold 20 and fire 20, SR 37, telepathy 1000ft, time regression",31,29,29,-,25,28,24,16,33,Any land and underground,always,CE,25,ELH,,DrC,Dragon Compendium,MoI,Magic of Incarnum,DoK,Dragons of Krynn,MoF,Monsters of Faerûn,HoD,Harvest of Darkness,EnvIm,Environmental Impact,,,
"Abomination, Xixecal",Coloss.,Outsider,"Chaotic, Cold, Evil, Extraplanar",72,1676,140,,64,9,57,116,Claw +95 (2d8+8/19-20),2 claws and bite +90 (4d6+14) and stamp +90 (4d6+14),"Breath weapon 12d6 cold 3/day, cold, Constitution drain, rend 4d8+42, SLAs, summon white dragon","CL36, at will - blasphemy, cone of cold, desecrate, greater dispel magic, dominate monster, hold person, improved invisibility, true seeing, unholy aura, wall of ice; 5/day - haste, meteor swarm","Abomination immunities, DR 20/adamantine and epic and good, dire winter, FH30, immunity to cold, nondetection, regeneration 30, SR 48, telepathy 1000ft, vulnerability to fire",55,47,39,66,13,40,12,8,34,Any,always,CE,36,ELH,,DrM,Dragon Magic,MotP,Manual of the Planes,HOS,Holy Order of the Stars,SM,Silver Marches,LoMys,Lands of Mystery,ToBV,The Treasure of the Black Veils,108 total sources,,
Abrian,Medium,Magical Beast,Extraplanar,2,13,50,,15,13,12,3,Beak +5 (1d3+1/19-20/x3),Beak and kick -2 (1d8),"Augmented critical, shriek",,"DV60, LLV, resistance to sonic 10",4,6,0,13,16,12,7,11,10,The Abyss,usually,CE,1    ,FF,,,,,,,,,,,,,,,,
Abyssal Drake,Huge,Outsider,"Chaotic, Evil, Extraplanar, Fire",10,95,40,f150 (pr),21,9,20,18,Sting +19 (1d6+9 plus poison),Sting +19 (1d6+9 plus poison) and bite +14 (2d6+4); or 2 claws +19 (2d4+9),"Breath weapon 10d6 unholy fire, frightful presence, poison, rend 4d4+13",,"DV60, immunity to fire, magic sleep effects, and paralysis, LLV, scent, resistance to acid 20, cold 20, and electricity 20, vulnerability to cold",12,8,9,29,12,20,6,15,15,The Abyss,always,CE,9    ,Draco,,,,,,,,,,,,,,,,
Abyssal Eviscerator,Medium,Outsider,"Chaotic, Evil, Extraplanar",4,38,30,,20,10,20,9,Claw +10 (1d6+5),2 claws,Rake 1d6+5,,"DV60, immunity to poison, resistance to acid 10, cold 10, electricity 10, and fire 10, scent",9,4,5,20,11,20,9,12,11,The Abyss,always,CE,4    ,MH,,,,,,,,,,,,,,,,
Achaierai,Large,Outsider,"Evil, Extraplanar, Lawful",6,39,50,,20,10,19,14,Claw +9 (2d6+4),2 claws and bite +4 melee (4d6+2),Black cloud,,"DV60, SR 19",7,6,7,19,13,14,11,14,16,Acheron,always,LE,5    ,MM1,,,,,,,,,,,,,,,,
Adamantine Spider,Small,Construct,,4,32,30,c20,17,14,14,-1,Bite +7 (1d4 plus poison),Same as Attack,"Poison, reactive web",,"DR 5/adamantine or magic, DV60, FH1, find master, guard, tremorsense 60ft",1,4,1,11,16,-,-,1,1,Underground,always,NN,3    ,DotU,,,,,,,,,,,,,,,,
Adramalech (Chancellor of the Nine Hells),Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",32,400,40,,40,18,32,39,Adramalech's Staff +42 (1d6+13 plus see text),Adramalech's Staff +42/+37/+32/+27 (1d6+13 plus see text); or Adramalech's Staff +40/+35/+30/+25 (1d6+10 plus see text) and Adramalech's Staff +40/+35 (1d6+6 plus see text),"Adramalech's Staff, aligned strike, aura of fear, epic strike, speak unto the masses, SLAs, summon baatezu, utterances (tru20)","CL19, at will - antimagic field, create greater undead, detect thoughts, discern lies, greater dispel magic, fireball, sending (Asmodeus only), greater teleport (self +50lbs only), wall of fire; 3/day - command (swift action); 1/day - meteor swarm, symbol of insanity","DR 15/epic and good, dark blessing, immunity to fire and poison, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 37, telepathy 100ft, tongues",38,38,39,25,26,27,36,29,24,Baator (Nessus),always,LE,27,361,,,,,,,,,,,,,,,,
Agares,Large,Outsider,"Baatezu, Evil, Extraplanar, Lawful",35,367,40,,43,17,40,47,Iron-shod Staff +47 (1d8+17) or claw +42 (1d6+8),Iron-shod Staff +47/+42/+37/+32 (1d8+17); or Iron-shod Staff +45/+40/+35/+30 and +45/+40 (1d8+17); or 2 claws +42 (1d6+8),"Aligned strike, aura of fear, epic strike, Iron-shod Staff, SLAs, spell (clr20), summon baatezu","CL20, at will - crushing despair, greater dispel magic, earthquake, hold monster, ice storm, limited wish (fulfill another's wish only), see invisibility, slow, greater teleport (self +50lbs only), wall of ice; 1/day - symbol of pain","Animal companion, DR 15/epic and good, immunity to fire, mind-affecting, and poison, link with companion, regeneration 10, resistance to acid 10 and cold 10,, see in darkness, share spells, SR 33, telepathy 100ft, tongues",25,24,28,26,17,22,29,24,23,Baator (Stygia),always,LE,22,361,,,,,,,,,,,,,,,,
Ahuizotl,Large,Aberration,Aquatic,7,45,20,s40,17,11,15,14,Tail hand +10 (1d6+5),Tail hand and bite +4 (2d6+2),"Blinding strike, drowning, improved grab",,"DV60, voice mimicry",4,4,5,21,14,14,12,11,15,Warm aquatic,usually,CE,6    ,FF,,,,,,,,,,,,,,,,
Airjelly,Small,Ooze,,2,29,,f80 (prf),17,17,11,-5,Tendrils +8 (1d3-2 plus 1d6 electricity),Same as Attack,Electricity,,"Blindsight 60ft, immunity to electricity, translucent",9,6,-5,6,22,28,-,1,1,Any,always,NN,2    ,Web,,,,,,,,,,,,,,,,
Alaghi,Medium,Monstrous Humanoid,,9,49,30,,16,11,15,13,Handaxe +13 (1d6+4) or javelin +10 (1d6+4),Handaxe +13/+8 (1d6+4) and slam +8 (1d4+2); or javelin +10 (1d6+4),-,,-,6,7,6,19,12,13,6,10,11,Temperate forests,often,NN,4    ,MoF,,,,,,,,,,,,,,,,
Albatross,Small,Animal,,1,6,10,f50,13,12,12,-4,Bite +1 (1d3),Same as Attack,-,,LLV,4,3,2,10,13,14,2,14,6,Warm aquatic,always,NN,1/4,Storm,,,,,,,,,,,,,,,,
Alchemical Undead,Medium,Undead,,9,61,30,,19,11,18,9,Claw +9 (1d8+5 plus 1d6 alchemical),2 claws,"Alchemical breath, alchemical claws, deathburst",,"DR 5/magic, DV60",3,4,7,21,12,-,9,12,14,Any,usually,NE,6    ,350,,,,,,,,,,,,,,,,
Alchemy Beetle,Small,Construct,,2,21,40,,15,12,15,-2,Bite +4 (1d3+1 plus 1d6 energy damage),Bite and 2 claws -2 (1d4),"Alchemical bite, alchemical blast",,"DV60, LLV",0,0,2,13,10,-,-,14,8,Any,always,NN,2    ,Xen'd,,,,,,,,,,,,,,,,
All-Consuming Hunger,Dimin.,Undead,Swarm,16,104,40,c20,14,14,14,-,Swarm (4d6 plus all-consuming wasting),Same as Attack,"All-consuming wasting, create spawn, distraction, fear aura",,"DV60, immune to weapon damage",5,5,10,1,11,-,-,10,16,Underground,always,NE,8    ,Under,,,,,,,,,,,,,,,,
Allip,Medium,Undead,Incorporeal,4,26,,f30 (prf),15,15,14,-,Incorporeal touch +3  (1d4 Wis drain),Same as Attack,"Babble, madness, Wisdom drain",,"DV60, +2 turn resistance",1,4,4,-,12,-,11,11,18,Any,always,NE,3    ,MM1,,,,,,,,,,,,,,,,
Baboon,Medium,Animal,,1,5,40,c30,13,12,11,2,Bite +2 (1d6+3),Same as Attack,-,,"LLV, scent",3,4,1,15,14,12,2,12,4,Warm plains,always,NN,1/2,MM1,,,,,,,,,,,,,,,,
Ambush Bug,Small,Vermin,,1,5,20,f40 (avg),15,11,15,-3,Bite +2 (1d4+1),Same as Attack,Attach,,DV60,3,0,2,12,11,12,-,14,9,Any forest,always,NN,1/2,GotP,,,,,,,,,,,,,,,,
Ambush Drake,Medium,Dragon,,7,73,40,f30 (pr),18,12,16,10,Bite +10 (1d8+3 plus poison),Bite and 2 claws +8 (1d6+1),"Breath weapon (slow), poison",,"DV60, immunity to magic sleep effects and paralysis, LLV, scent, SR 16, telepathic link 30ft",9,7,5,16,15,18,7,10,9,Temperate plains,usually,NE,5    ,MM3,,,,,,,,,,,,,,,,
Amoebic Crawler,Large,Ooze,Extraplanar,4,54,30,,9,9,9,7,Tentacle +2 (1d6 plus 1d6 acid),2 tentacles,"Acid, improved grab, vile touch",,"Blindsight 60ft, immunity to electricity, translucent",9,1,-4,10,11,26,-,1,11,Far Realm,always,NN,3    ,330,,,,,,,,,,,,,,,,
Amphisbaena,Large,Magical Beast,,6,45,40,c20,17,12,14,11,Bite +8 (1d6+1 plus poison),2 bites,Poison,,"DV60, hardened corpse, immunity to cold, LLV, scent",7,8,3,13,16,15,2,12,3,Temperate marshes,always,NN,5    ,Serp,,,,,,,,,,,,,,,,
Badger,Small,Animal,,1,6,30,b10,15,14,12,-5,Claw +4 (1d2-1),2 claws and bite -1 (1d3-1),Rage,,"LLV, scent",4,5,1,8,17,15,2,12,6,Temperate forests,always,NN,1/2,MM1,,,,,,,,,,,,,,,,
Angel of Decay,Large,Undead,,26,198,30,f50 (pr),28,15,26,30,Claw +20 (2d6+18) (adj for Pwr Atk),2 claws and 2 wing slams +15 (1d6+11) (both adj for Pwr Atk),"Rotting aura, rotting touch",,"DR 10/adamantine and magic, DV60, SR 24, unholy grace",14,18,26,37,14,-,20,20,18,Any land and underground,always,CE,15,LM,,,,,,,,,,,,,,,,
"Angel, Astral Deva",Medium,Outsider,"Angel, Extraplanar, Good",12,102,50,f100 (gd),29,14,25,18,+3 heavy mace of disruption +21 (1d8+12 plus stun) or slam +18  (1d8+9),+3 heavy mace of disruption +21/+16/+11 (1d8+12 plus stun) or slam +18  (1d8+9),"SLAs, stun","CL12, at will - aid, continual flame, detect evil, discern lies, dispel evil, dispel magic, holy aura, holy smite, holy word, invisibility (self only), plane shift, remove curse, remove disease, remove fear; 7/day - cure light wounds, see invisibility; 1/day - blade barrier, heal.","Change shape, DR 10/evil, DV60, LLV, immunity to acid, cold, petrification, protective aura, resistance to electricity and fire 10, SR 30, tongues, uncanny dodge, +4 on saves vs. poison",14,12,12,22,18,18,18,18,20,Upper Planes,always,XG,14,MM1,,,,,,,,,,,,,,,,
"Angel, Monadic Deva",Medium,Outsider,"Angel, Extraplanar, Good",10,95,40,f90 (gd),25,13,22,15,Mace of smiting +15 (1d8+7),Mace of smiting +15/+10 (1d8+7),SLAs,"CL11, at will - aid, charm monster (elementals only), consecrate, continual flame, create food and water, death ward, detect evil, discern lies, hold monster, mirror image, prayer, protection from arrows; 3/day - atonement, cure serious wounds, daylight, dispel magic, divination, ethereal jaunt, hallow, holy aura, holy smite, neutralize poison,  plane shift, remove curse, remove disease, remove fear; 1/day - commune, dispel evil, raise dead","Change shape, DR 10/evil, DV60, deliverance from death, elemental ease, immunity to acid, cold, electricity, fire, and petrification, LLV, protective aura, SR 22, tongues, uncanny dodge, +4 on saves vs. poison",12,10,10,20,16,20,17,17,19,Upper Planes,always,XG,12,FF,,,,,,,,,,,,,,,,
"Angel, Movanic Deva",Medium,Outsider,"Angel, Extraplanar, Good",6,39,40,f90 (gd),22,14,18,9,+1 flaming greatsword +11 (2d6+5 plus 1d6 fire),+1 flaming greatsword +11/+6 (2d6+5 plus 1d6 fire),SLAs,"CL9, at will - aid, consecrate, continual flame, create food and water, death ward, detect evil, discern lies, prayer, protection from arrows; 3/day - atonement, bless weapon, cure serious wounds, daylight, divination, ethereal jaunt, hallow, holy smite, neutralize poison, plane shift, remove curse, remove disease, remove fear; 1/day - commune, raise dead","Change shape, DR 10/evil, DV60, divine equilibrium, heavenly deflection, immunity to acid, cold, electricity, and petrification, LLV, protective aura, soothing presence of nature, SR 19, tongues, +4 on saves vs. poison",7,9,10,17,18,15,17,16,18,Upper Planes,always,XG,9    ,FF,,,,,,,,,,,,,,,,
"Angel, Planetar",Large,Outsider,"Angel, Extraplanar, Good",14,133,30,f90 (gd),32,13,28,25,+3 greatsword +23 (3d6+13/19-20),+3 greatsword +23/+18/+13 (3d6+13/19-20) or slam +20 (2d8+10),"SLAs, spells (clr17)","CL17, at will-continual flame, dispel magic, holy smite, invisibility (self only), lesser restoration, remove curse, remove disease, remove fear, speak with dead, 3/day - blade barrier, flame strike, power word stun, raise dead, waves of fatigue; 1/day - earthquake, greater restoration, mass charm monster, waves of exhaustion. ","Change shape, DR 10/evil, DV60, LLV, immunity to acid, cold, petrification, protective aura, regeneration 10, resistance to electricity 10 and fire 10, SR 30, tongues, +4 on saves vs. poison",14,13,15,25,19,20,22,23,22,Upper Planes,always,XG,16,MM1,,,,,,,,,,,,,,,,
